Instrument ID,Image Filename,Image Citation,Instrument Name,Instrument Description,Instrument Uses,Other Names,Image URL
11,11_senn-miller retractor.png,"Teleflex Surgical. (n.d.). Senn-Miller Retractor. Retrieved March 9, 2025, from https://www.teleflexsurgicalcatalog.com/images/products/pilling/details/SR_480125.jpg",Senn-Miller Retractor,"A double-ended retractor, one end with a smooth blade and the other with multiple small, sharp teeth (rake)","Used to retract skin and superficial tissues, especially in smaller incisions",Senn Retractor,https://www.teleflexsurgicalcatalog.com/images/products/pilling/details/SR_480125.jpg
12,12_ochsner clamp.png,"Teleflex Surgical. (n.d.). Ochsner Clamp. Retrieved March 9, 2025, from https://www.teleflexsurgicalcatalog.com/images/products/pilling/details/SR_182620.jpg",Ochsner Clamp,A strong clamp with interlocking teeth at the tips,Used for grasping tough tissues or clamping large blood vessels,"Kocher Clamp, Crusher",https://www.teleflexsurgicalcatalog.com/images/products/pilling/details/SR_182620.jpg
13,13_towel clips.png,"Harfins. (n.d.). Towel Clips. Retrieved March 9, 2025, from https://usercontent.one/wp/www.harfins.com/wp-content/uploads/2020/10/Backhaus-Towel-Clamp-768x494.jpg?media=1731870444",Towel Clips,"Clamps with sharp, pointed tips",Used to secure surgical drapes to the patient's skin,"Towel Clamps, Backhaus Towel Clamps",https://usercontent.one/wp/www.harfins.com/wp-content/uploads/2020/10/Backhaus-Towel-Clamp-768x494.jpg?media=1731870444
14,14_laparoscope.png,Minitube. (n.d.). Laparoscope. https://www.minitube.com/userdata/dcshop/images/normal/4902_23700-xxxx_laparoscope.jpg,Laparoscope,"A thin, rigid or flexible tube with a camera and light source",Used to visualize the inside of the abdomen or other body cavities,"Endoscope (general term), Laparoscopic Telescope",https://www.minitube.com/userdata/dcshop/images/normal/4902_23700-xxxx_laparoscope.jpg
15,15_trochar.png,Indo Surgicals. (n.d.). Trocar cannula. https://www.indosurgicals.com/images/products/93410-trocar-cannula.jpg,Trochar,A sharp-pointed instrument used to create an entry point into the body cavity for laparoscopic instruments. It is typically used with a cannula (sleeve) that remains in place after the trocar is removed.,Creates access ports for laparoscopic instruments,"Port, Cannula, Access Device",https://www.indosurgicals.com/images/products/93410-trocar-cannula.jpg
16,16_clip applicator_laparoscopic.png,"Golden Nimbus. (2022, February). Clip applicator. https://goldennimbus.com/wp-content/uploads/2022/02/clip-applicator-scaled.jpg",Clip Applicator (laparoscopic),A device used to apply surgical clips,Used to ligate blood vessels or ducts,"Clip Applier, Ligating Clip Applier",https://goldennimbus.com/wp-content/uploads/2022/02/clip-applicator-scaled.jpg
17,17_surgical shears_laparoscopic.png,"Fairmont Medical. (2017, December). Disposable laparoscopic scissors. https://www.fairmontmedical.com.au/wp-content/uploads/2017/12/Disposable-Laparoscopic-Scissors.jpg",Surgical Shears (Laparoscopic),Specialized shears designed for laparoscopic use,Used for cutting tissue or sutures during laparoscopic procedures,"Laparoscopic Scissors, Laparoscopic Cutting Shears","https://www.fairmontmedical.com.au/wp-content/uploads/2017/12/Disposable-Laparoscopic-Scissors.jpg
"
18,18_maryland dissector.png,Indo Surgicals. (n.d.). Maryland dissector. https://www.indosurgicals.com/images/products/93452-maryland-dissector.jpg,Maryland Dissector,"A curved, fine-tipped dissecting instrument used in laparoscopic surgery",Used for tissue dissection and manipulation,"Maryland Forceps, Maryland Grasper, Maryland Laparoscopic Grasper",https://www.indosurgicals.com/images/products/93452-maryland-dissector.jpg
19,19_suction irrigation cannula.png,Suction Irrigation Cannula. (n.d.). [Photograph of a suction irrigation cannula]. Retrieved from https://5.imimg.com/data5/ANDROID/Default/2020/12/SQ/RM/HY/2995627/product-jpeg.jpg,Suction Irrigation Cannula,A cannula that allows for simultaneous suction and irrigation,Used to remove fluids and debris from the surgical field during laparoscopic procedures,"Suction Irrigation Probe, Suction Irrigation Handpiece, Dual Lumen Suction Cannula",https://5.imimg.com/data5/ANDROID/Default/2020/12/SQ/RM/HY/2995627/product-jpeg.jpg
20,20_babcock grasper.png,Amazon. (n.d.). Surgical product. https://m.media-amazon.com/images/I/41ZRcBr0zwL.jpg,Babcock Grasper,"A laparoscopic grasping instrument with a rounded, circular, fenestrated (with an opening) tip.
This design creates a less traumatic grip on tissue. The fenestration helps to distribute pressure and minimize tissue damage.","Specifically designed for grasping and holding delicate tissues during laparoscopic procedures.
Ideal for tissues that are easily damaged, such as bowel, blood vessels, or other internal organs. The atraumatic nature of the Babcock grasper makes it preferable when minimizing tissue trauma is crucial.","Babcock Forceps (Laparoscopic), Atraumatic Grasper",https://m.media-amazon.com/images/I/41ZRcBr0zwL.jpg
21,21_allis grasper.png,"Amazon. (n.d.). Surgical product. https://m.media-amazon.com/images/I/310zjHXAavL._BO30,255,255,255_UF900,850_SR1910,1000,0,C_QL100_.jpg",Allis Grasper,"Similar in design to the open (traditional) Allis tissue forceps, but adapted for laparoscopic use. It features multiple small, interlocking teeth at the tips.
The laparoscopic version is usually longer and thinner than the open version to allow for manipulation through trocars.","Used for grasping and holding tissues during laparoscopic surgery.
The teeth provide a more secure grip than a Babcock, but they can also cause more tissue trauma if not used carefully. Often used for grasping fascia, organs, or other tissues that require a firmer hold.","Allis Forceps (Laparoscopic), Tissue Grasper (Laparoscopic - with teeth).","https://m.media-amazon.com/images/I/310zjHXAavL._BO30,255,255,255_UF900,850_SR1910,1000,0,C_QL100_.jpg"
22,22_claw grasper.png,"Golden Nimbus. (2024, August). Surgical product. https://goldennimbus.com/wp-content/uploads/2024/08/9.jpg",Claw Grasper,"A laparoscopic grasper with sharp, pointed teeth or claws. The teeth can be arranged in various configurations.","Designed for grasping and holding tougher tissues that require a very strong grip. Often used for manipulating dense tissues or tissues that are difficult to grasp with other instruments. Because of the sharp teeth, claw graspers can cause significant tissue trauma if not used carefully.","Toothed Grasper (Laparoscopic), Aggressive Grasper, Grasping Forceps (Laparoscopic - with teeth)","https://goldennimbus.com/wp-content/uploads/2024/08/9.jpg
"
23,23_hook scissors_laparoscopic.png,Indo Surgicals. (n.d.). Hook scissors. https://www.indosurgicals.com/images/products/93468-hook-scissors.jpg,Hook Scissors (Laparoscopic),Scissors with a hooked blade,Used for cutting sutures or tissues during laparoscopic procedures,"L-hook scissors, hook shears",https://www.indosurgicals.com/images/products/93468-hook-scissors.jpg
24,24_monopolar l-hook_laparoscopic.png,Amazon. (n.d.). Surgical product. https://m.media-amazon.com/images/I/41YSlhzRwJL.jpg,Monopolar L-Hook (Laparoscopic),An electrosurgical instrument with an L-shaped tip,Used for cutting and coagulating tissue during laparoscopic surgery,"Monopolar hook, L-hook electrode, Retractable L-hook sealer/divider",https://m.media-amazon.com/images/I/41YSlhzRwJL.jpg
25,25_debakey forceps.png,Avante Health Solutions. (n.d.). Marina Medical Debakey forceps. https://avantehs.com/s/marina-medical-debakey-forceps/2333,Debakey Forceps,"Long, slender, atraumatic forceps designed with fine serrations to minimize tissue damage. Essential for handling delicate structures such as the intestines, blood vessels, and other soft tissues. Their non-crushing design ensures minimal trauma while allowing precise manipulation during the procedure.","Used to gently grasp and retract delicate tissues, such as the bowel and mesentery, without causing injury. Their atraumatic nature makes them ideal for minimizing surgical trauma and preserving tissue integrity.","Debakey Vascular Forceps, Atraumatic Tissue Forceps, Debakey Atraumatic Forceps, Debakey Pickup Forceps",https://avantehs.com/s/marina-medical-debakey-forceps/2333
26,26_richardson retractor.png,[Richardson Retractor]. (n.d.). https://avantehs.com/s/sklar-richardson-retractor/4056,Richardson Retractor,"A flat, curved blade and an ergonomic handle designed for deep tissue retraction. It is available in single or double-ended versions. Its sturdy design provides reliable exposure while minimizing tissue trauma.","Used to hold back the abdominal wall, intestines, and soft tissues to provide a clear surgical field. It helps surgeons visualize and access deep structures, making it essential for procedures involving the peritoneal cavity, bowel, and other abdominal organs.","Richardson-Eastman Retractor, Abdominal Retractor, Deep Tissue Retractor",https://avantehs.com/s/sklar-richardson-retractor/4056
27,27_narrow deaver retractor.png,[Narrow Deaver Retractor]. (n.d.). https://www.germedusa.com/p-12332-deaver-retrctor-12-x-2-thin-handle.aspx,Narrow Deaver Retractor,"A long, thin, and slightly curved blade designed for deep tissue and organ retraction. It is a variation of the standard Deaver Retractor but with a narrower blade.","Used to retract the abdominal wall, intestines, or other soft tissues to improve visualization of deeper structures. It is particularly useful for mobilizing organs, protecting surrounding tissues, and maintaining exposure in smaller or more delicate surgical areas.","Narrow Blade Deaver Retractor, Ribbon Retractor, Deep Tissue Retractor",https://www.germedusa.com/p-12332-deaver-retractor-12-x-2-thin-handle.aspx
28,28_wide deaver retractor.png,[Wide Deaver Retractor]. (n.d.). https://surtex-instruments.com/product/deaver-retractor/,Wide Deaver Retractor,"A broad, curved blade designed for deep tissue and organ retraction. It provides strong yet gentle retraction that helps holding back large organs and soft tissues during surgery.","Used to retract the abdominal wall, liver, intestines, and other large structures. It allows surgeons to access deeper areas of the peritoneal cavity while protecting surrounding tissues.","Large Deaver Retractor, Deaver Retractor, Deep Tissue Retractor",https://surtex-instruments.com/product/deaver-retractor/
29,29_malleable retractor.png,[Malleable Retractor]. (n.d.). https://www.knightbenedikt.com.au/webstore/product/?code=MAL1XX,Malleable Retractor,"A flat, flexible surgical instrument that can be bent and shaped. Made of stainless steel, it comes in various widths and lengths, allowing for customized retraction of tissues.","Used to retract soft tissues, organs, or blood vessels. Its flexibility makes it especially useful in protecting delicate structures and adjusting to different anatomical spaces during complex procedures.","Flexible Retractor, Ribbon Retractor",https://www.knightbenedikt.com.au/webstore/product/?code=MAL1XX
30,30_needle holder.png,[Needle Holder]. (n.d.). https://www.ebay.ph/itm/182482661383,Needle Holder,"A ratcheted, scissor-like surgical instrument designed to securely grasp and control suture needles during suturing. It has short, serrated jaws with a central groove for a firm grip on the needle, preventing slippage.","For holding and guiding needles while suturing tissues. They provide stability and control, ensuring precise and secure placement of sutures.
","Needle Driver, Surgical Needle Forceps ",https://www.ebay.ph/itm/182482661383
31,31_babcock forceps.png,[Babcock Forceps]. (n.d.). https://www.germedusa.com/p-12763-babcock-forceps.aspx,Babcock ,"Ring-handled, atraumatic surgical instruments with a ratcheted locking mechanism. They have a slightly curved, fenestrated (open) tip with smooth, rounded edges, designed to gently grasp delicate tissues without causing injury.","Ideal for grasping and holding delicate structures such as intestines, fallopian tubes, and appendix. 
","Babcock Tissue Forceps, Babcock Intestinal Forceps",https://www.germedusa.com/p-12763-babcock-forceps.aspx
32,32_mixter.png,[Mixter Forceps]. (n.d.). https://surtex-instruments.com/product/right-angled-mixter-dissecting-and-ligature-forcep/,Mixter,"Long, curved, right-angled surgical instruments with a ratcheted locking mechanism and serrated jaws.","Ideal for clamping blood vessels, passing sutures around structures, and dissecting tissues in confined spaces.
","Right Angle Forceps, Mixter Clamp, Right Angle Hemostat",https://surtex-instruments.com/product/right-angled-mixter-dissecting-and-ligature-forcep/
33,33_lahey forceps.png,[Lahey Forceps]. (n.d.). https://www.indiamart.com/proddetail/lahey-forceps-19196336755.html,Lahey Forceps,"Ring-handled surgical instruments with a ratcheted locking mechanism and sharp, inward-curving teeth at the tip.","Ideal for grasping and retracting soft tissues, such as the thyroid gland, for better exposure. Their sharp teeth ensure a secure hold, making them useful in procedures that require controlled traction.
","Lahey Traction Forceps, Lahey Thyroid Tenaculum",https://www.indiamart.com/proddetail/lahey-forceps-19196336755.html
34,34_ovum forceps.png,[Ovum Sponge Forceps]. (n.d.). https://tjmenterprises.online/product/ovum-sponge-forcep/,Ovum Forceps,"Long, ring-handled surgical instruments with a ratcheted locking mechanism and large, oval-shaped, serrated or smooth jaws.",Used for packing and removing gauze from deep cavities. Their large jaws allow for efficient grasping of tissues while minimizing damage.,"Bozeman Forceps, Uterine Forceps, Ring Forceps",https://tjmenterprises.online/product/ovum-sponge-forcep/
35,35_pean.png,[Pean Forceps]. (n.d.). https://www.sklarcorp.com/p/Sklar-Pean-Forceps/17-1757?view=super_skus,Pean,"Long, ring-handled, hemostatic surgical instruments with a ratcheted locking mechanism and fully serrated jaws. They are designed for strong, non-slip gripping of tissues and blood vessels.","Ideal for clamping large blood vessels, controlling bleeding, and holding onto thick tissues during dissection.","Pean Hemostatic Forceps, Rochester-Pean Forceps",https://www.sklarcorp.com/p/Sklar-Pean-Forceps/17-1757?view=super_skus
36,36_balfour retractor.png,[Balfour Retractor]. (n.d.). https://www.medicalexpo.com/prod/medicta-instruments/product-129353-965822.html,Balfour Retractor,"A self-retaining surgical instrument designed with two lateral blades and a central blade, which can be adjusted to provide optimal exposure of the abdominal cavity. Made of stainless steel, it has a ratcheting mechanism that locks the blades in place, allowing hands-free retraction during surgery.","Used to hold back the abdominal wall and soft tissues, providing a clear view of the surgical site. Its self-retaining design minimizes the need for additional assistants and ensures stable, wide exposure for procedures involving the intestines, peritoneum, and other deep structures.","Balfour Abdominal Retractor, Self-Retaining Abdominal Retractor",https://www.medicalexpo.com/prod/medicta-instruments/product-129353-965822.html
37,37_hill-ferguson retractor.png,[Hill-Ferguson Retractor]. (n.d.). https://products.integralife.com/hill-ferguson-retractor/product/surgical-instruments-miltex-instruments-surgical-rectal-hill-ferguson-retractor,Hill-Ferguson Retractor,"A curved, flat blade and a solid, ergonomic handle. It is designed to provide deep retraction of the anal canal and rectum during anorectal procedures.","Helps retract the anal canal, providing clear visualization and access to hemorrhoidal tissue. It maintains exposure during dissection and ligation of hemorrhoids.","Hill-Ferguson Anal Retractor, Hemorrhoid Retractor",https://products.integralife.com/hill-ferguson-retractor/product/surgical-instruments-miltex-instruments-surgical-rectal-hill-ferguson-retractor
38,38_pratt rectal speculum.png,[Pratt Rectal Speculum]. (n.d.). https://bossinstruments.com/product/8-1-2-pratt-rectal-speculum-25x85mm/,Pratt Rectal Speculum,"Has two hinged blades that can be gently expanded using a screw mechanism. It has a smooth, rounded design to minimize patient discomfort while providing optimal visualization of the rectal canal.","Used for examining the rectum and anal canal. It is used in procedures such as hemorrhoidectomy, rectal biopsy, and diagnosing anal fissures, polyps, or other anorectal conditions. The adjustable blades allow for controlled dilation. ","Pratt Anal Speculum, Rectal Dilator","https://bossinstruments.com/product/8-1-2-pratt-rectal-speculum-25x85mm/
"
39,39_pennington clamp.png,[Pennington Clamp]. (n.d.). https://www.bydandmedical.com.au/forceps-clamp-pennington-15cm,Pennington Clamp,"A ring-handled surgical instrument with a ratcheted locking mechanism and triangular, serrated jaws. The jaws are designed to provide a secure yet gentle grip on tissues, minimizing trauma.",Used to grasp and manipulate hemorrhoidal tissue during excision. Its atraumatic triangular jaws allow for a secure hold on the hemorrhoid while minimizing tissue damage. ,"Pennington Forceps, Duval Clamp, Triangle Clamp","https://www.bydandmedical.com.au/forceps-clamp-pennington-15cm
"
40,40_crile clamps.png,[Crile Hemostatic Forceps]. (n.d.). https://www.germedusa.com/p-13174-crile-hemostatic-forceps.aspx,Crile Clamps,"A ring-handled, ratcheted surgical instrument with fully serrated jaws designed for hemostasis. They are available in straight or curved variations and come in different sizes. Made of stainless steel, they provide a firm grip on tissues and blood vessels.","Used to control bleeding by clamping small to medium-sized blood vessels during surgeries. They are also used for blunt dissection, tissue manipulation, and holding sutures. ","Crile Hemostatic Forceps, Hemostat, Snap",https://www.germedusa.com/p-13174-crile-hemostatic-forceps.aspx
41,41_rubber band ligator.png,[Rubber Band Ligator]. (n.d.). https://www.thdlab.us/healthcare-professionals/products/thd-bandy,Rubber Band Ligator,Consists of a cylindrical applicator with a mechanism to release the band and may be operated manually or with suction assistance.,"Used for reducing hemorrhoid symptoms, promoting tissue shrinkage, and preventing recurrence with minimal discomfort to the patient.","Hemorrhoid Banding Device, Barron Ligator.","https://www.thdlab.us/healthcare-professionals/products/thd-bandy
"
42,42_pph stapler.png,[PPH Stapler]. (n.d.). https://www.jnjmedtech.com/en-US/product/proximate-pph-hemorrhoidal-circular-stapler-set,PPH Stapler,"Consists of a circular stapling head, an anvil, and a handle that activates the stapling and cutting mechanism. The device excises excess mucosal tissue and simultaneously staples the remaining tissue, repositioning the hemorrhoidal cushions while preserving the anal canal’s normal anatomy.","It reduces prolapsed tissue by repositioning it inside the anal canal, restoring normal blood flow and function.","Circular Hemorrhoidal Stapler, Stapled Hemorrhoidopexy Device","https://www.jnjmedtech.com/en-US/product/proximate-pph-hemorrhoidal-circular-stapler-set
"
43,43_fenestrated grasper.png,[Fenestrated Grasper]. (n.d.). https://www.indosurgicals.com/laparoscopy-instruments/laparoscopic-graspers/93458-fenestrated-grasper.php,Fenestrated Grasper,"A laparoscopic instrument with ringed, fenestrated (open-window) jaws that provide a secure yet gentle grip on tissues.",Used to grasp and manipulate the appendix or surrounding tissues during dissection.,"Fenestrated Laparoscopic Grasper, Atraumatic Grasper, Laparoscopic Bowel Grasper","https://www.indosurgicals.com/laparoscopy-instruments/laparoscopic-graspers/93458-fenestrated-grasper.php
"
44,44_adson dissector hook.png,[Adson Dissector Hook]. (n.d.). https://surtex-instruments.com/product/adson-dura-hook/,Adson Dissector Hook,"A slender, curved or angled instrument with a fine, blunt or sharp tip. It is designed for delicate tissue manipulation.","Helps in lifting or retracting small structures such as nerves, vessels, or dura mater.","Adson Hook, Adson Nerve Hook",https://surtex-instruments.com/product/adson-dura-hook/
45,45_hegar dilators.png,[Hegar Dilators]. (n.d.). https://axishealth.com.au/products/lib-hegar-uterine-dilator-double-ended-set-8,Hegar Dilators,"Double-ended, cylindrical metal rods with gradually increasing diameters on each end.",Helps in preparing the cervix for intrauterine procedure. ,"Hegar Uterine Dilators, Cervical Dilator.","https://axishealth.com.au/products/lib-hegar-uterine-dilator-double-ended-set-8
"
46,46_cuco vaginal speculum.png,[Cusco Vaginal Speculum]. (n.d.). https://www.ecomed.com.au/shop/our-brands/cusco-vaginal-speculum/,Cusco Vaginal Speculum,"A self-retaining, double-bladed instrument designed to hold the vaginal walls apart for visualization and access to the cervix. It has a hinged, duckbill-shaped design, allowing for easy insertion and adjustment.","Provides clear visualization of the cervix for cervical dilation. Allows access to the uterine cavity for curettage. Facilitates insertion of uterine instruments like dilators, curettes, or suction cannulas. Stabilizes the vaginal walls for better exposure during the procedure.","Bivalve Speculum, Self-Retaining Vaginal Speculum",https://www.ecomed.com.au/shop/our-brands/cusco-vaginal-speculum/
47,47_auvard weighted speculum.png,[Auvard Weighted Speculum]. (n.d.). https://www.coopersurgical.com/product/euro-med-auvard-weighted-specula/,Auvard Weighted Speculum,"A self-retaining, single-bladed vaginal retractor with a weighted handle designed to hold the vaginal walls open without manual assistance",Providing hands-free vaginal retraction during procedures. Allowing better visualization of the cervix and vaginal walls in gynecological surgeries. Facilitating access for instruments during uterine procedures.,"Weighted Vaginal Speculum, Auvard Retractor","https://www.coopersurgical.com/product/euro-med-auvard-weighted-specula/
"
48,48_pratt dilators.png,[Pratt Dilators]. (n.d.). https://www.gynexcorporation.com/product/pratt-dilator-set/,Pratt Dilators,"Are double-ended, rod-like surgical instruments used for progressive dilation of the cervix. They have gradually increasing diameters on each end, allowing for incremental dilation.",Gradually dilating the cervix to allow access to the uterine cavity. Treating cervical stenosis by stretching a narrowed cervical canal. Facilitating safe passage of surgical instruments into the uterus,"Uterine Dilators, Cervical Dilators",https://www.gynexcorporation.com/product/pratt-dilator-set/
49,49_hanks dilators.png,[Hanks Dilators]. (n.d.). https://www.gynexcorporation.com/product/hank-dilator-set/,Hanks Dilators,"Are double-ended, slightly curved metal instruments used for gradual cervical dilation. They have rounded tips and come in progressively increasing sizes, allowing for controlled expansion of the cervical canal. Unlike Pratt dilators, Hanks dilators feature small circular stops (guards) near the ends to prevent over-insertion and reduce the risk of uterine perforation.",Dilating the cervix gradually to facilitate uterine access. Preventing over-insertion with built-in safety stops. Treating cervical stenosis by widening a narrowed cervical canal.,"Uterine Dilators, Cervical Dilators",https://www.gynexcorporation.com/product/hank-dilator-set/
50,50_tenaculum forceps.png,[Tenaculum Forceps]. (n.d.). https://www.germedusa.com/p-13124-tenaculum-forcep.aspx,Tenaculum Forceps,"Are long, slender surgical instruments with sharp, hooked tips designed to grasp and stabilize tissue, particularly the cervix and uterus. They have a locking mechanism (ratchet) to hold tissue securely with minimal effort.",Grasping and stabilizing the cervix during procedures. Providing traction to the uterus in hysterectomy or other gynecologic surgeries. Facilitating cervical dilation by holding the cervix steady.,"Uterine Tenaculum, Cervical Tenaculum",https://www.germedusa.com/p-13124-tenaculum-forcep.aspx
51,51_pozzi forceps.png,[Pozzi Forceps]. (n.d.). https://us.edm-imaging.com/products/pozzi-forceps-25-cm,Pozzi Forceps,"Are long, slender with sharp, single-toothed hooks at the tips, designed to grasp and hold the cervix or uterus during medical procedures.",Grasping and stabilizing the cervix during dilation. Providing traction to the uterus in procedures like hysterectomy or myomectomy. Assisting in cervical dilation by holding the cervix steady.,"Pozzi Tenaculum, Uterine Tenaculum Forceps, Single-Toothed Tenaculum","https://us.edm-imaging.com/products/pozzi-forceps-25-cm
"
52,52_sims uterine curettes.png,,Sims Uterine Curettes,"Are long, spoon-shaped instruments with a sharp or blunt looped tip, designed for scraping and removing tissue from the uterine lining.",Performing dilation and curettage (D&C) to remove retained tissue or for biopsy. Scraping and collecting endometrial tissue for histopathological examination. Removing abnormal tissue or remnants after miscarriage or abortion.,"Sims Curette, Uterine Curette, Endometrial Curette",https://www.germedusa.com/p-14119-sims-uterine-curettes-sharp-malleable.aspx
53,53_kevorkian endocervical curette.png,Kevorkian-Younge Endocervical Biopsy Curette | MPM Medical Supply. (n.d.). MPM Medical Supply. https://www.mpmmedicalsupply.com/products/kevorkian-younge-curette,Kevorkian Endocervical Curette,"A long, slender instrument with a rectangular, sharp-edged tip, often featuring a basket or serrated design to collect tissue samples.","Performing endocervical curettage (ECC) to collect cells for biopsy. Diagnosing cervical and endometrial abnormalities, including precancerous or cancerous conditions. Sampling tissue in cases of abnormal Pap smears for further evaluation.","Endocervical Curette, Kevorkian Curette with Basket","https://www.mpmmedicalsupply.com/products/kevorkian-younge-curette
"
54,54_sims uterine sound.png,,Sims Uterine Sound,"A long, slender, graduated metal instrument with a blunt tip, often featuring a slight curve to match the natural contour of the uterus. It is designed for gentle insertion through the cervical canal into the uterine cavity to measure its depth and assess its orientation.","Determines the length of the uterine cavity, aiding in the selection of appropriate instruments and devices. Evaluates the position of the uterus (e.g., anteverted, retroverted), which is critical for planning procedures.","Sims Sound, Uterine Depth Sound","https://www.alimed.com/sims-uterine-sounds.html
"
